Company Name,Names,Sales Package,Model Number,Model Name,Type,Bluetooth,Memory Card Slot,Configuration,Power Output (RMS),Color,Wired/Wireless,Subwoofer,Wall Mountable Satellite,Built-in Fm Radio,Outdoor Usage,Frequency Response,Power Source,Impedance,Portable,Width,Height,Depth,Cable Length,Satellite Depth,Satellite Height,Satellite Width,Satellite Weight,Subwoofer Weight,Subwoofer Depth,Subwoofer Height,Subwoofer Width,Center Satellite Weight,Center Satellite Depth,Center Satellite Height,Center Satellite Width,Tweeter Diameter,Warranty Summary,Covered in Warranty,Domestic Warranty,Not Covered in Warranty,Warranty Service Type,International Warranty,Driver Size,Chassis Material,Other Features,Remote Control Support,Controls,Separation,Power Input,Sensitivity,Coverage Pattern,Other System Requirements,Technology Used,Price,Reviews,Ratings Count,Ratings,Five Stars,Four Stars,Three Stars,Two Stars,One Stars,Links
SAREGAMA,"SAREGAMA Carvaan Marathi 10 W Bluetooth Home Theatre  (Porcelain White, Stereo Channel)","1 Music Player, 1 Charger, 1 User Manual, 1 Remote",Carvaan Marathi,,Home Theatre,Yes,No,Stereo,10 W,White,Wireless,,No,Yes,,200-10000 Hz,Battery,4 Ohms,,27 cm,17 cm,8 cm,1 m,,,,,,,,,,,,,,1 Year in-home warranty support (Domestic),Warranty of the product is limited to manufacturing defects only,1 Year,"Warranty does not cover plastics parts, charger, remote or damage caused to the product due to improper installation by customer, normal wear and tear, display panel, damages caused to the product by accident, lightening, ingress of water, fire, dropping or excessive shock, any damage caused due to tampering of the product by an unauthorized agent, liability for loss of data",,,,"Yes, ABS Plastic Chassis",,Yes,"Previous, Next, Knob Dial, Volume, Mode Buttons",,"230 V AC, 50 Hz, 6 W",,,,,"₹6,290",39 Reviews,502,4.3,334,98,19,10,41,https://www.flipkart.com/saregama-carvaan-marathi-10-w-bluetooth-home-theatre/p/itmf4h7atezapr7z?pid=ACCF4H5MDHTKR6PD&lid=LSTACCF4H5MDHTKR6PDPYNJTS&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_6_227&otracker=browse&fm=organic&iid=en_eIaj4uM9QqOhUk9dIr6g76jS-uv6fRQMTGNWeMaHBD0TtoBUK5LI5HorUcokRPZfwNrQDvLnqSPdBsLFsHgGyQ%3D%3D&ppt=None&ppn=None&ssid=rgepkyxpls0000001701147803603
SAREGAMA,"SAREGAMA Carvaan Punjabi 10 W Bluetooth Home Theatre  (Porcelain White, Stereo Channel)","1 Music Player, 1 Charger, 1 User Manual, 1 Remote",Carvaan Punjabi,,Home Theatre,Yes,No,Stereo,10 W,White,Wireless,,No,Yes,,200-10000 Hz,Battery,4 Ohms,,27 cm,17 cm,8 cm,1.2 m,,,,,,,,,,,,,,1 Year in-home warranty support (Domestic),Warranty of the product is limited to manufacturing defects only,1 Year,"Warranty does not cover plastics parts, charger, remote or damage caused to the product due to improper installation by customer, normal wear and tear, display panel, damages caused to the product by accident, lightening, ingress of water, fire, dropping or excessive shock, any damage caused due to tampering of the product by an unauthorized agent, liability for loss of data",,,,"No, ABS Plastic Chassis",,Yes,"Previous, Next, Knob Dial, Volume, Mode Buttons",,"230 V AC, 50 Hz, 6 W",,,,,"₹5,990",7 Reviews,53,4.2,34,9,3,1,6,https://www.flipkart.com/saregama-carvaan-punjabi-10-w-bluetooth-home-theatre/p/itmffhjpyeyztv4r?pid=ACCFFHGP3RMHQ2GD&lid=LSTACCFFHGP3RMHQ2GDU2GEJ2&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_6_228&otracker=browse&fm=organic&iid=en_eIaj4uM9QqOhUk9dIr6g76jS-uv6fRQMTGNWeMaHBD3AhdxSX1scIJKyPPiBlE1zyR3HK4E5MaUrVCqfGLwknw%3D%3D&ppt=None&ppn=None&ssid=rgepkyxpls0000001701147803603
Gizmore,"Gizmore Giz Squad 4112 Pro 40 W Bluetooth Home Theatre  (Black, 4.1 Channel)","1 Main Unit, 4 x Satellite, Remote",Giz Squad 4112 Pro,,Home Theatre,Yes,Yes,4.1,40 W,Black,Wired & Wireless,,,Yes,Yes,20 Hz - 20 KHz,AC,8,,20 cm,26 cm,15 cm,1 m,,,75 mm,,,,,,,,,,,"1 Year Manufacturing Warranty, for Support Contact us on +91-9654034400. Write to us at customercare@gizmore.in",Manufacturing Defect Only,1 Year,Physical and Liquid Damage,Off-site,,4 inch (Satellite),Yes,,,,,,,,,,"₹2,499",30 Reviews,120,3.6,65,9,12,6,28,https://www.flipkart.com/gizmore-giz-squad-4112-pro-40-w-bluetooth-home-theatre/p/itmb7b36dba33aa1?pid=ACCG3UAAU7YVHGHZ&lid=LSTACCG3UAAU7YVHGHZNYMUUW&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_6_229&otracker=browse&fm=organic&iid=93912d5b-fb8b-44c9-b23d-b2f8ede48534.ACCG3UAAU7YVHGHZ.SEARCH&ppt=None&ppn=None&ssid=rgepkyxpls0000001701147803603
boAt,"boAt Blitz 1500 Pro with Dynamic RGB LEDs, EQ Modes & Master Remote Control 80 W Bluetooth Home Theatre  (Space Black, 4.1 Channel)","1 Subwoofer, Remote Control, User Manual, Warranty Card, 4 Satellite Speakers",Blitz 1500 pro,"Blitz 1500 Pro with Dynamic RGB LEDs, EQ Modes & Master Remote Control",Home Theatre,Yes,,4.1,80 W,Black,,,,,,,,,,15.5 cm,28.9 cm,24.5 cm,,,,,,,,,,,,,,,,Manufacturing Defects,1 Year,Physical Damages,In Case Any Query Please Mail Us at info@imaginemarketingindia.com or Call on +912269181920,,,,,,,,,,,,,"₹4,999",2 Reviews,12,2.9,,,,,,https://www.flipkart.com/boat-blitz-1500-pro-dynamic-rgb-leds-eq-modes-master-remote-control-80-w-bluetooth-home-theatre/p/itm65f1d266ed415?pid=ACCGSZ8NPA2ED5RW&lid=LSTACCGSZ8NPA2ED5RW5ABKKR&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_6_230&otracker=browse&fm=organic&iid=93912d5b-fb8b-44c9-b23d-b2f8ede48534.ACCGSZ8NPA2ED5RW.SEARCH&ppt=None&ppn=None&ssid=rgepkyxpls0000001701147803603
SAREGAMA,"SAREGAMA Carvaan Marathi 10 W Bluetooth Home Theatre  (Cherrywood Red, Stereo Channel)","1 Music Player, 1 Charger, 1 User Manual, 1 Remote",Carvaan Marathi,,Home Theatre,Yes,No,Stereo,10 W,Red,Wireless,,No,Yes,,200-10000 Hz,Battery,4 Ohms,,28.9 cm,22.6 cm,8.4 cm,,,,,,,,,,,,,,,,,1 Year,,,,,"Yes, ABS Plastic Chassis",,Yes,"Previous, Next, Knob Dial, Volume, Mode Buttons",,"220 V, 50 Hz",,,,,"₹6,290",39 Reviews,502,4.3,334,98,19,10,41,https://www.flipkart.com/saregama-carvaan-marathi-10-w-bluetooth-home-theatre/p/itmf7dsgrekx5ujq?pid=ACCF7DQK2F7NH85G&lid=LSTACCF7DQK2F7NH85G0KP713&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_6_231&otracker=browse&fm=organic&iid=en_eIaj4uM9QqOhUk9dIr6g76jS-uv6fRQMTGNWeMaHBD0wnipVVeid7uJGF7H-QLoD4FaLpC3n23pl4LBXlme0og%3D%3D&ppt=None&ppn=None&ssid=rgepkyxpls0000001701147803603
SAREGAMA,"SAREGAMA Carvaan Bengali 10 W Bluetooth Home Theatre  (Prorcelain White, Stereo Channel)","1 Music Player, 1 Charger, 1 User Manual, 1 Remote",SC03,Carvaan Bengali,Home Theatre,Yes,No,Stereo,10 W,Beige,Wireless,,No,Yes,,200-10000 Hz,Battery,4 Ohms,,27 cm,17 cm,8 cm,1 m,,,,,,,,,,,,,,,Warranty of the product is limited to manufacturing defects only,1 Year,"Warranty does not cover plastics parts, charger, remote or damage caused to the product due to improper installation by customer, normal wear and tear, display panel, damages caused to the product by accident, lightening, ingress of water, fire, dropping or excessive shock, any damage caused due to tampering of the product by an unauthorized agent, liability for loss of data",,,,"Yes, ABS Plastic Chassis",,Yes,"Previous, Next, Knob Dial, Volume, Mode Buttons",,"230 V AC, 50 Hz, 6 W",,,,,"₹5,990",87 Reviews,861,4.5,631,131,22,16,61,https://www.flipkart.com/saregama-carvaan-bengali-10-w-bluetooth-home-theatre/p/itmf225qpympgr4f?pid=ACCF225QQHXEYZRJ&lid=LSTACCF225QQHXEYZRJQKTGOC&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_6_232&otracker=browse&fm=organic&iid=en_eIaj4uM9QqOhUk9dIr6g76jS-uv6fRQMTGNWeMaHBD0LC7HRr-VDbspqKm1MzscAczXtQd86bErArPXEnMP0eQ%3D%3D&ppt=None&ppn=None&ssid=rgepkyxpls0000001701147803603
JVC,"JVC XS-XN3300 70 W Bluetooth Home Theatre  (Black, 2.1 Channel)","Remote Control, 1 Speaker, 2 Battery AAA, FM Cable",XS-XN3300 2.1CH MULTIMEDIA SPEAKERS,XS-XN3300,Home Theatre,Yes,Yes,2.1,70 W,Black,Wired,1,Yes,Yes,Yes,40 - 20000 Hz,AC Mains,4,,27 cm,50.7 cm,28.5 cm,1.5 m,,,,,,,,,,,,,,1 Year Warranty,Accessories,1 Year,Burn and Damaged,Customer Needs to Call JVC Customer Care Toll Free Number (+91-9910332380) for demo/installation or to register any Complaint on the Product,,6.5 inch Woofer,"No, Metal Magnetic Chassis",,Yes,"Play, Track Control",,"AC 220 - 230 V, 50 Hz",,,,DSP,"₹3,799",53 Reviews,255,3.8,121,49,27,19,39,https://www.flipkart.com/jvc-xs-xn3300-70-w-bluetooth-home-theatre/p/itmf8a922deec2a6?pid=ACCFFTZEFQYBHH2H&lid=LSTACCFFTZEFQYBHH2H9O3OZY&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_6_233&otracker=browse&fm=organic&iid=93912d5b-fb8b-44c9-b23d-b2f8ede48534.ACCFFTZEFQYBHH2H.SEARCH&ppt=None&ppn=None&ssid=rgepkyxpls0000001701147803603
ZSIV,"ZSIV E-91 10 W Bluetooth Home Theatre  (Black, 4.2 Channel)","1. E-91 SPEAKER, 1. CHARGE CABLE",E-91 Soundbar with Detachable Wireless Surround and Sub-Woofer,E-91,Home Theatre,Yes,Yes,4.2,10 W,Black,Wireless,1,Yes,Yes,Yes,,,,,12 cm,14 cm,16 cm,1 m,16 mm,14 mm,12 mm,0.4 kg,0.4 kg,16 mm,14 mm,12 mm,0.4 kg,16 mm,14 mm,12 mm,,NA,NA,,NA,NA,,,"Yes, YES Chassis",E-91 Soundbar with Detachable Wireless Surround and Sub-Woofer Home Theatre Bluetooth Speaker Sound Bar TV Soundbar Cinema Wireless Sound Bar,,,,,,,E-91 Soundbar with Detachable Wireless Surround and Sub-Woofer Home Theatre Bluetooth Speaker Sound Bar TV Soundbar Cinema Wireless Sound Bar,YES,₹985,2 Reviews,24,3.8,,,,,,https://www.flipkart.com/zsiv-e-91-10-w-bluetooth-home-theatre/p/itm072d919e49b2e?pid=ACCGH9JU76NH7YHZ&lid=LSTACCGH9JU76NH7YHZT9WYFK&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_6_234&otracker=browse&fm=organic&iid=93912d5b-fb8b-44c9-b23d-b2f8ede48534.ACCGH9JU76NH7YHZ.SEARCH&ppt=None&ppn=None&ssid=rgepkyxpls0000001701147803603
Target,"Target Target TT-D5197 FM-USB-BT WITH COPPER TRANSFORMER 155 W Bluetooth Home Theatre  (Black, 5.1 Channel)","SUBWOOFER, SPEAKERS 5, REMOTE 1",D5197,Target TT-D5197 FM-USB-BT WITH COPPER TRANSFORMER,Home Theatre,Yes,No,5.1,155 W,Black,Wired,1,Yes,Yes,No,,,,,35 cm,70 cm,30 cm,,,,,,,,,,,,,,,6 MONTHS FROM THE DATE OF PURCHASE,MANUFACTURING DEFECTS,6 Months,DAMAGES ARE NOT COVERED,,,5.25,,,YES,,,,,,,,"₹3,514",1 Reviews,20,3.8,,,,,,https://www.flipkart.com/target-tt-d5197-fm-usb-bt-copper-transformer-155-w-bluetooth-home-theatre/p/itmd2694ae82d4f1?pid=ACCGJWS7YKATVFRM&lid=LSTACCGJWS7YKATVFRMYSG2C8&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_6_235&otracker=browse&fm=organic&iid=93912d5b-fb8b-44c9-b23d-b2f8ede48534.ACCGJWS7YKATVFRM.SEARCH&ppt=None&ppn=None&ssid=rgepkyxpls0000001701147803603
Highstairs,"Highstairs Wireless HiFi Stereo Good Quality Karaoke ZQ Bluetooth Speaker/Home Theatre with Built-in Amplifier and Mic Supports Compatible with All mobile phones 20 W Bluetooth Home Theatre  (Black, Stereo Channel)","1 X Speaker, 1 x Charging Cable, 1 x Carrying strap, 1 x Microphone",Wireless HiFi Stereo Good Quality Karaoke ZQ Bluetooth Speaker/Home Theatre with Built-in Amplifier and Mic Supports Compatible with All mobile phones,,Home Theatre,Yes,Yes,Stereo,20 W,Black,Wireless,2,Yes,Yes,Yes,150HZ-20KHZ,Battery,,,17 cm,40 cm,17 cm,,,,,,,,,,,,,,,,,,,,,6 inche,Hard Plastic Chassis,,Wireless,"Volume Control, Play/ Pause, Answer Calls, On-off, Reset, Backward/forward",,,,,,,"₹1,999",38 Reviews,419,3.8,210,75,48,24,62,https://www.flipkart.com/highstairs-wireless-hifi-stereo-good-quality-karaoke-zq-bluetooth-speaker-home-theatre-built-in-amplifier-mic-supports-compatible-all-mobile-phones-20-w-home/p/itmc059a76faca42?pid=ACCG45CBGGD46MGG&lid=LSTACCG45CBGGD46MGGE1T6WE&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_6_236&otracker=browse&fm=organic&iid=93912d5b-fb8b-44c9-b23d-b2f8ede48534.ACCG45CBGGD46MGG.SEARCH&ppt=None&ppn=None&ssid=rgepkyxpls0000001701147803603
SAREGAMA,"SAREGAMA Carvaan Bengali 6 W Bluetooth Home Theatre  (Cherrywood Red, Stereo Channel)","1 Music Player, 1 Charger, 1 User Manual, 1 Remote",Carvaan Bengali,,Home Theatre,Yes,No,Stereo,6 W,Red,Wireless,,No,Yes,Yes,200-10000 Hz,Battery,4 Ohms,,27 cm,17 cm,8 cm,,,,,,,,,,,,,,,,,1 Year,,,,,"Yes, ABS Plastic Chassis",,Yes,"Previous, Next, Knob Dial, Volume, Mode Buttons",,"230 V AC, 50 Hz, 6 W",,,,,"₹6,290",87 Reviews,861,4.5,631,131,22,16,61,https://www.flipkart.com/saregama-carvaan-bengali-6-w-bluetooth-home-theatre/p/itmf7dtfz2hshkqy?pid=ACCF7DQKMYG6TYFG&lid=LSTACCF7DQKMYG6TYFGLS99R2&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_6_237&otracker=browse&fm=organic&iid=en_eIaj4uM9QqOhUk9dIr6g76jS-uv6fRQMTGNWeMaHBD2bFZQ4wXJHM35dMKz-yY1kP8rUiRb-icp9pzSpNxttfA%3D%3D&ppt=None&ppn=None&ssid=rgepkyxpls0000001701147803603
SAREGAMA,"SAREGAMA Carvaan Telugu 10 W Bluetooth Home Theatre  (Porcelain White, Stereo Channel)","1 Music Player, 1 Charger, 1 User Manual, 1 Remote",SC03,Carvaan Telugu,Home Theatre,Yes,No,Stereo,10 W,White,Wireless,,No,Yes,,200-10000 Hz,Battery,4 Ohms,,27 cm,17 cm,8 cm,,,,,,,,,,,,,,,,Warranty of the product is limited to manufacturing defects only,1 Year,"Warranty does not cover plastics parts, charger, remote or damage caused to the product due to improper installation by customer, normal wear and tear, display panel, damages caused to the product by accident, lightening, ingress of water, fire, dropping or excessive shock, any damage caused due to tampering of the product by an unauthorized agent, liability for loss of data",,,,"No, ABS Plastic Chassis",,Yes,"Previous, Next, Knob Dial, Volume, Mode Buttons",,230 V AC,,,,,"₹5,990",5 Reviews,65,4,37,13,4,2,9,https://www.flipkart.com/saregama-carvaan-telugu-10-w-bluetooth-home-theatre/p/itm7d5aefbb7d12e?pid=ACCG73QAUDSB6DJK&lid=LSTACCG73QAUDSB6DJKDOPWYL&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_6_238&otracker=browse&fm=organic&iid=en_eIaj4uM9QqOhUk9dIr6g76jS-uv6fRQMTGNWeMaHBD27tVxeAJUYONsmkdHJNp-8zI5Pwn7XbKBxtIqcUaY5KQ%3D%3D&ppt=None&ppn=None&ssid=rgepkyxpls0000001701147803603
TEQIR,"TEQIR E-91 HD Sound I Sleek Premium Design I Guitar & Mic Input for Karaoke Soundbar 16 W Bluetooth Home Theatre  (Black, Stereo Channel)","1 SPEAKER, WITH POWER CABLE",Wireless Bluetooth Soundbar with 1500mAh Built-In Battery I Full Range Speakers,E-91 HD Sound I Sleek Premium Design I Guitar & Mic Input for Karaoke Soundbar,Home Theatre,Yes,Yes,Stereo,16 W,Black,Wireless,2,Yes,Yes,Yes,300GHZ100,BATTERY,16,,8 cm,12 cm,5 cm,1 m,,,,,,,,,,,,,,7 DAYS REPLACEMENT,NA,,NA,NA,,52,"Yes, Yes, hard plastic Chassis","Bluetooth 5.1 technology, you can wirelessly stream music from Bluetooth-enabled TVs, laptops, PCs, smartphones, and tablets. You can also utilize the AUX IN jack to connect to a wired audio connection. The soundbar allows you to play back MP3 files directly from the device, and it's compatible with USB drives. This means you can easily access and play your favourite music, and more, without the need for a separate device. Plus, the simple, intuitive controls make it easy to navigate and control your entertainment.",NO,"ON/Off, Next/ Preview, FM Button",6DB,USB CHARGING BATTERY,45 dB,4OH,"Connect this system to all the devices you have and see how your music experience goes up so many notches. All modern devices are invited and the connectivity options range from Bluetooth, Aux and USB",,₹989,,,,,,,,,https://www.flipkart.com/teqir-e-91-hd-sound-sleek-premium-design-guitar-mic-input-karaoke-soundbar-16-w-bluetooth-home-theatre/p/itm048883208190a?pid=ACCGRET2G8FWF7DF&lid=LSTACCGRET2G8FWF7DFRHJGZX&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_6_239&otracker=browse&fm=organic&iid=93912d5b-fb8b-44c9-b23d-b2f8ede48534.ACCGRET2G8FWF7DF.SEARCH&ppt=None&ppn=None&ssid=rgepkyxpls0000001701147803603
WOOS,"WOOS 3DPro Bass Ws-04 Speaker With Mic Super Bass Bluetooth compatible for phones 10 W Bluetooth Home Theatre  (Black, Stereo Channel)","1 Bluetooth Speaker, 1 Microphone, 1 USB Cable",3DPro Bass Ws-04 Speaker With Mic Super Bass Bluetooth compatible for phones,,Home Theatre,Yes,Yes,Stereo,10 W,Black,Wired & Wireless,2,Yes,Yes,Yes,70 HZ-18KHZ,,4OHMS,,8 cm,14 cm,8 cm,0.12 m,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,,52,"Yes, Hard plastic Chassis Chassis",,Wireless,,Greater than 40 dB,1,42 dB,Yes,,,₹874,0 Reviews,11,4.5,,,,,,https://www.flipkart.com/woos-3dpro-bass-ws-04-speaker-mic-super-bluetooth-compatible-phones-10-w-home-theatre/p/itm7cb9ebf0295fa?pid=ACCGQEYEGKQZWSVB&lid=LSTACCGQEYEGKQZWSVBDBDUHI&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_6_240&otracker=browse&fm=organic&iid=93912d5b-fb8b-44c9-b23d-b2f8ede48534.ACCGQEYEGKQZWSVB.SEARCH&ppt=None&ppn=None&ssid=rgepkyxpls0000001701147803603
Target,"Target TARGET TT-D5109 FM-USB-BT PMPO : 32500 WATTS RMS : 155 WATTS 155 W Bluetooth Home Theatre  (Black, 5.1 Channel)","SUB WOOFER 1, SATELLITE SPEAKERS 5",D5109,TARGET TT-D5109 FM-USB-BT PMPO : 32500 WATTS RMS : 155 WATTS,Home Theatre,Yes,No,5.1,155 W,Black,Wired,1,Yes,Yes,No,,,,,30 cm,70 cm,30 cm,,,,,,,,,,,,,,,6 MONTHS FROM THE DATE OF PURCHASE,MANUFACTURING DEFECTS,6 Months,,,,5.25,,,,,,,,,,,"₹3,324",47 Reviews,318,3.8,150,58,44,18,48,https://www.flipkart.com/target-tt-d5109-fm-usb-bt-pmpo-32500-watts-rms-155-w-bluetooth-home-theatre/p/itmffd3a1b0f1881?pid=ACCGFUJKTJSB6RXF&lid=LSTACCGFUJKTJSB6RXF7WWZBE&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_7_241&otracker=browse&fm=organic&iid=en_EqrS7CYUuJIPpvWs1va96WaxUi8uBRAzoAl8DVxYd0F2T3Zx_zdZQosihhFeMBPuYj4EMnXUdkGripWh4QWVlA%3D%3D&ppt=None&ppn=None&ssid=6cf8vd8ka80000001701147823343
Panasonic,"Panasonic SC-HT550GW-K 150 W Bluetooth Home Theatre  (Black, 5.1 Channel)","1 Subwoofer, 1 Audio Cable, User Manual, Warranty Card, Remote Control",SC-HT550GW-K,,Home Theatre,Yes,No,5.1,150 W,Black,Wired & Wireless,1,Yes,No,,20Hz-20KHz,AC Adapter,,,34.2 cm,58.5 cm,43.1 cm,1.5 m,111 mm,200 mm,102 mm,,,,,,,,,,,1 Year Warranty,Manufacturing Defects,1 Year,"Physical Damages, Scratches, Aesthetic Defects will Not be Covered Under Warranty",On-site,,"6.5 inch (Subwoofer), 3 inch (Satellite)","Wood (Subwoofer), Plastic (Satellite) Chassis",,,,,,,,,,"₹10,990",102 Reviews,735,4,421,122,52,30,110,https://www.flipkart.com/panasonic-sc-ht550gw-k-150-w-bluetooth-home-theatre/p/itm5b4c563beea1e?pid=ACCG4NSJZGUUGDRT&lid=LSTACCG4NSJZGUUGDRTXQ0JX6&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_7_242&otracker=browse&fm=organic&iid=en_EqrS7CYUuJIPpvWs1va96WaxUi8uBRAzoAl8DVxYd0FYdTI6Di6sURR47YYZUOD82LvJFzONXyA0vGuFKDDmVQ%3D%3D&ppt=None&ppn=None&ssid=6cf8vd8ka80000001701147823343
Edifier,"Edifier D12 White 70 W Bluetooth Home Theatre  (White, 2.0 Channel)","2.0 Bookshelf Speaker, Cable, mannul, Remote",D12 White,,Home Theatre,Yes,No,2.0,70 W,White,Wired,,,,,,,,,45 cm,19 cm,33 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"₹12,990",0 Reviews,3,3.7,,,,,,https://www.flipkart.com/edifier-d12-white-70-w-bluetooth-home-theatre/p/itm7c5159b53d722?pid=ACCG6Z4PYJ9Z8DTU&lid=LSTACCG6Z4PYJ9Z8DTUYWTPQK&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_7_243&otracker=browse&fm=organic&iid=625e16c7-c2a7-451c-8f2f-37f69972f75d.ACCG6Z4PYJ9Z8DTU.SEARCH&ppt=None&ppn=None&ssid=6cf8vd8ka80000001701147823343
Treadmill,"Treadmill TG-162 100% Best Quality with Super Bass 3D Sound Wireless Bluetooth Speaker | Splashproof | Led Colour Changing Lights | with Aux / FM / SD Card Slot | Perfect Speaker for Room / Party / Functions Compatible with All Bluetooth Devices 10 W Bluetooth Home Theatre  (Green, 5.1 Channel)","1 x speaker, 1 X Charging Cable",TG-162 100% Best Quality with Super Bass 3D Sound Wireless Bluetooth Speaker | Splashproof | Led Colour Changing Lights | with Aux / FM / SD Card Slot | Perfect Speaker for Room / Party / Functions Compatible with All Bluetooth Devices,,Home Theatre,Yes,Yes,5.1,10 W,Green,Wired & Wireless,1,Yes,Yes,Yes,180Hz-20KHz,USB chargeable,4,,10 cm,8 cm,5 cm,3.5 m,,,,,,,,,,,,,,NA,NA,,NA,NA,,52,"Yes, Plastic Chassis","The body is constructed of durable rubber matte finish that makes it shock proof With LED Light,which offers all around outdoor protection against dust and water., Grab one and take it with you when swimming, camping, hiking, cycling, drifting and more. Run along is time is 5-6 hours.",WIRELESS,"VOLUME CONTROL, PLAY, PAUSE, MODE",40,5,42 dB,HARD ABS PLASTIC,Before first use charge atlest 20 mints for long Battery,BLUETOOTH,₹439,0 Reviews,15,4.2,,,,,,https://www.flipkart.com/treadmill-tg-162-100-best-quality-super-bass-3d-sound-wireless-bluetooth-speaker-splashproof-led-colour-changing-lights-aux-fm-sd-card-slot-perfect-room-party-functions-compatible-all-devices-10-w-home-theatre/p/itm69e47db7c03e4?pid=ACCG6ZFKQ5FZ9QJJ&lid=LSTACCG6ZFKQ5FZ9QJJ7VW3HY&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_7_244&otracker=browse&fm=organic&iid=625e16c7-c2a7-451c-8f2f-37f69972f75d.ACCG6ZFKQ5FZ9QJJ.SEARCH&ppt=None&ppn=None&ssid=6cf8vd8ka80000001701147823343
JVC,"JVC XS-XN3300 70 W Bluetooth Home Theatre  (Black, 2.1 Channel)","Remote Control, 1 Speaker, 2 Battery AAA, FM Cable",XS-XN3300 2.1CH MULTIMEDIA SPEAKERS,XS-XN3300,Home Theatre,Yes,Yes,2.1,70 W,Black,Wired,1,Yes,Yes,Yes,40 - 20000 Hz,AC Mains,4,,27 cm,50.7 cm,28.5 cm,1.5 m,,,,,,,,,,,,,,1 Year Warranty,Accessories,1 Year,Burn and Damaged,Customer Needs to Call JVC Customer Care Toll Free Number (+91-9910332380) for demo/installation or to register any Complaint on the Product,,6.5 inch Woofer,"No, Metal Magnetic Chassis",,Yes,"Play, Track Control",,"AC 220 - 230 V, 50 Hz",,,,DSP,"₹3,799",53 Reviews,255,3.8,121,49,27,19,39,https://www.flipkart.com/jvc-xs-xn3300-70-w-bluetooth-home-theatre/p/itmf8a922deec2a6?pid=ACCFFTZEFQYBHH2H&lid=LSTACCFFTZEFQYBHH2H9O3OZY&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_7_245&otracker=browse&fm=organic&iid=625e16c7-c2a7-451c-8f2f-37f69972f75d.ACCFFTZEFQYBHH2H.SEARCH&ppt=None&ppn=None&ssid=6cf8vd8ka80000001701147823343
None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.flipkart.com/smartbeats-9900w-pmpo-s26-melody-multimedia-fm-usb-sd-card-40-w-bluetooth-home-theatre/p/itma735765fee4c9?pid=ACCGQ5NKCHAQYUD3&lid=LSTACCGQ5NKCHAQYUD3XI8IJA&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_7_246&otracker=browse&fm=organic&iid=625e16c7-c2a7-451c-8f2f-37f69972f75d.ACCGQ5NKCHAQYUD3.SEARCH&ppt=None&ppn=None&ssid=6cf8vd8ka80000001701147823343
SAREGAMA,"SAREGAMA Carvaan Premium Punjabi 10 W Bluetooth Home Theatre  (Royal Blue, Stereo Channel)","1 Music Player, 1 Charger, 1 User Manual, 1 Remote",SC230,Carvaan Premium Punjabi,Home Theatre,Yes,No,Stereo,10 W,Blue,Wireless,,No,Yes,Yes,200-10000 Hz,,4 Ohms,,28.9 cm,22.6 cm,8.4 cm,,,,,,,,,,,,,,,1 Year in-home warranty support (Domestic),,1 Year,,,,,Yes,,Yes,,,,,,,,"₹6,990",7 Reviews,53,4.2,34,9,3,1,6,https://www.flipkart.com/saregama-carvaan-premium-punjabi-10-w-bluetooth-home-theatre/p/itmc8b27591f0c23?pid=ACCGF37G8MYAJS7A&lid=LSTACCGF37G8MYAJS7AXU03WG&marketplace=FLIPKART&store=0pm%2F0o7&srno=b_7_247&otracker=browse&fm=organic&iid=en_EqrS7CYUuJIPpvWs1va96WaxUi8uBRAzoAl8DVxYd0FynmxYYodGHhpqy72zlvGa0zZLzfKEuS4Mf_ELyn5AEw%3D%3D&ppt=None&ppn=None&ssid=6cf8vd8ka80000001701147823343
